RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
193,schlatt,English,personality,Minecraft,Just Chatting,2.6,10.314,23.397,1.1,552,2120000,4820000,38,0.7,Saturday,Saturday
194,mrsavage,English,personality,Fortnite,Minecraft,4.2,3.713,37.588,1.1,4.223,4110000,41600000,42,3.2,Saturday,Sunday
195,bykingcl,Spanish,personality,Just Chatting,Fortnite,2.6,258,272,1.7,2.921,262000,276000,36,5,Wednesday,Sunday
196,tectone,English,personality,Genshin Impact,Just Chatting,5.5,648,11.474,1.7,8.008,951000,16800000,285,5.3,Thursday,Tuesday
197,litkillah,Spanish,personality,Grand Theft Auto V,Just Chatting,3.4,9.053,69.452,1.7,1.115,2680000,20400000,18,1.6,Tuesday,Friday
198,doublelift,English,personality,League of Legends,Path of Exile,4.8,962,65.890,1.1,6.108,1790000,102000000,50,3.2,Friday,Tuesday
199,maya,English,personality,Just Chatting,Music,3.1,888,21.487,1.3,2.996,815000,19700000,89,3.5,Friday,Monday
200,scump,English,personality,Call of Duty: Warzone,Call of Duty: Black Ops 4,5.2,1.506,32.447,1.2,5.777,1690000,42700000,58,2.9,Thursday,Sunday
201,cdawgva,English,personality,Just Chatting,Apex Legends,5.4,1.907,13.670,2,3.668,1270000,9130000,352,1.8,Wednesday,Monday
202,tisischubech,German,personality,FIFA 23,EA Sports FC 24,5.4,1.261,2.501,1.5,1.994,460000,902000,24,2.6,Sunday,Wednesday
203,therealmarzaa,Italian,personality,Fortnite,Just Chatting,5.5,888,8.190,3.6,10.623,1510000,13900000,452,6.4,Monday,Tuesday
204,ravshann,Russian,personality,Just Chatting,Grand Theft Auto V,3.3,496,1.964,1.6,3.215,482000,1910000,48,3.5,Wednesday,Sunday
205,nix,Russian,personality,Dota 2,Just Chatting,6.8,942,22.722,1.9,5.242,776000,18700000,59,2.8,Saturday,Sunday
206,jcorko_,Spanish,personality,Grand Theft Auto V,Just Chatting,4.6,814,14.052,1.7,3.900,750000,12900000,54,2.4,Monday,Monday
207,martinciriook,Spanish,personality,Just Chatting,Resident Evil 4,1.8,298,558,1,1.031,180000,313000,17,4.2,Tuesday,Tuesday
208,twitchrivals,English,esports,League of Legends,Fortnite,4.4,4.361,481.615,1.1,3.010,2440000,269000000,122,2.1,Thursday,Sunday
209,runthefutmarket,English,personality,FIFA 19,FIFA 20,4.3,404,8.337,1.3,9.186,928000,19100000,53,5.5,Friday,Monday
210,rebeudeter,French,personality,Grand Theft Auto V,Just Chatting,3.2,4.004,29.395,1.4,1.280,1500000,11000000,95,1.4,Thursday,Sunday
211,aussieantics,English,esports,Fortnite,Sea of Thieves,7.3,649,14.956,1.3,13.290,1240000,28600000,71,6.3,Friday,Sunday
212,guacamolemolly,Russian,personality,Just Chatting,Counter-Strike,3.6,510,9.121,1.5,3.198,423000,7560000,99,2.7,Thursday,Monday
213,jinnytty,English,personality,Just Chatting,IRL,7.6,479,28.223,1.6,16.123,1010000,60500000,311,5.9,Sunday,Sunday
214,pgl_dota2en2,English,esports,Dota 2,Variety,6.5,1.097,16.835,1,1.411,193000,2980000,2,0.7,Monday,Saturday
215,hutchmf,English,personality,Grand Theft Auto V,Escape from Tarkov,8.0,215,5.490,1.5,12.870,382000,9680000,133,4.7,Tuesday,Sunday
216,thegrefg,Spanish,personality,Just Chatting,Fortnite,4.5,7.156,159.680,2,6.849,11900000,263000000,114,6.3,Thursday,Sunday
217,auziomf,English,personality,FIFA 23,EA Sports FC 24,3.9,337,294,1.1,4.318,391000,341000,31,3.6,Monday,Saturday
218,giggand,German,personality,Grand Theft Auto V,Just Chatting,4.8,741,6.936,2.1,4.840,638000,6180000,167,2.8,Sunday,Thursday
219,josedeodo,Spanish,personality,League of Legends,Just Chatting,2.6,1.859,12.463,1,800,456000,3060000,4,1,Tuesday,Monday
220,mira,English,personality,Just Chatting,Pools Hot Tubs and Beaches,10.0,421,23.323,2,15.738,646000,34300000,80,3.8,Saturday,Sunday
221,dangerlyoha,Russian,personality,Just Chatting,Counter-Strike,3.9,1.650,14.754,2.1,2.092,890000,7950000,164,2.2,Saturday,Sunday
222,zentreya,English,personality,Just Chatting,VRChat,5.1,307,4.295,2.2,9.370,502000,7160000,636,5.3,Tuesday,Sunday
223,stariy_bog,Russian,personality,Dota 2,Just Chatting,4.6,180,3.245,1,6.613,281000,5070000,9,4.9,Monday,Sunday
224,kyedae,English,personality,VALORANT,Just Chatting,5.5,4.142,45.278,1.2,4.066,2850000,31100000,73,3.6,Friday,Sunday
225,extraemily,English,personality,Just Chatting,Super Mario Odyssey,5.2,429,559,1.7,5.216,365000,476000,204,4.8,Friday,Thursday
226,brawlhalla,English,esports,Brawlhalla,Clone Hero,2.8,1.533,23.674,1,3.818,2080000,32700000,53,3.4,Tuesday,Sunday
227,akamikarubi,Japanese,personality,VALORANT,Street Fighter 6,7.0,406,1.844,1.4,7.789,481000,2190000,153,5.9,Thursday,Sunday
228,bbbb87,Chinese,personality,League of Legends,Just Chatting,6.9,122,12.933,1.8,7.762,152000,16100000,225,3.1,Saturday,Sunday
229,dota2_paragon_ru2,Russian,personality,Dota 2,Variety,10.0,1.175,0,1,620,78700,0,2,1.1,Monday,Monday
230,spiukbs,Spanish,personality,Brawl Stars,Just Chatting,3.2,341,3.342,1.3,2.349,271000,2660000,37,2.4,Wednesday,Sunday
231,esl_dota2storm,English,esports,Dota 2,Variety,8.3,1.321,27.968,1,1.210,209000,5080000,2,0.5,Sunday,Thursday
232,pokimane,English,personality,Just Chatting,League of Legends,3.8,6.735,158.446,1.8,6.455,9320000,220000000,135,4.4,Tuesday,Wednesday
233,jolavanille,French,personality,Fortnite,Just Chatting,6.8,471,11.348,2.3,8.754,643000,15400000,101,6.6,Sunday,Sunday
234,vinesauce,English,personality,Games + Demos,Trash,4.3,213,11.536,2,8.119,603000,41000000,918,4.8,Monday,Monday
235,strogo1337,Russian,personality,Just Chatting,Counter-Strike,3.2,918,7.317,2.1,2.417,665000,5300000,40,5.3,Sunday,Monday
236,yoda,Portuguese,personality,League of Legends,Teamfight Tactics,8.0,1.143,118.635,2.1,15.787,2440000,248000000,327,5.1,Thursday,Saturday
237,bastighg,German,personality,Minecraft,Rocket League,6.1,615,14.577,1.9,16.822,1780000,41100000,304,7,Thursday,Saturday
238,mistermv,French,personality,Teamfight Tactics,Special Events,4.8,443,42.842,1.5,9.257,886000,86100000,565,4.9,Wednesday,Sunday
239,bkinho,Portuguese,personality,Grand Theft Auto V,Virtual Casino,7.5,1.120,5,1.9,1.848,277000,1300,38,0.9,Thursday,Tuesday
240,otzdarva,English,personality,Dead by Daylight,DARK SOULS II: Scholar of the First Sin,6.0,552,11.278,1.2,11.662,1020000,20700000,141,5,Saturday,Tuesday
241,elzeein,Spanish,personality,Just Chatting,Minecraft,7.2,878,612,1.9,4.766,551000,394000,90,2.2,Wednesday,Monday
242,setsuko,English,personality,Teamfight Tactics,Poker,6.8,247,284,1,4.900,165000,190000,14,4,Friday,Monday
243,woohankyung,Korean,personality,Just Chatting,League of Legends,5.0,1.093,38.046,1.2,2.602,587000,20400000,31,2.8,Wednesday,Sunday
244,steel,Russian,personality,Just Chatting,Grand Theft Auto V,4.3,280,5.997,1.9,5.840,381000,8170000,101,4.3,Monday,Tuesday
245,etoiles,French,personality,Minecraft,Just Chatting,5.3,685,27.739,2.1,9092,1100000,44500000,195,4.5,Saturday,Saturday
246,finalfantasyxiv,English,personality,FINAL FANTASY XIV ONLINE,Final Fantasy XIV: Heavensward,3.6,800,23.958,1,1.393,339000,12000000,5,1,Friday,Saturday
247,dougdoug,English,personality,Just Chatting,Grand Theft Auto V,3.2,1.839,5.588,1.4,2.387,904000,2750000,130,2.7,Tuesday,Tuesday
248,gerardromero,Spanish,personality,Sports,Just Chatting,5.1,443,2.792,1,5.497,720000,4540000,12,6,Tuesday,Sunday
249,yuyuta0702,Japanese,personality,Just Chatting,Yu-Gi-Oh! Master Duel,6.0,369,2.965,1.3,3.716,261000,2100000,89,4.8,Saturday,Sunday
250,duke,English,personality,Just Chatting,NBA 2K19,2.4,7.086,4.392,1.3,711,2100000,1300000,49,0.8,Friday,Tuesday
251,meikodrj,Portuguese,personality,Grand Theft Auto V,Just Chatting,5.6,572,5.979,1.6,7.712,764000,7990000,121,4.3,Friday,Sunday
252,lacobraaa,Spanish,personality,Just Chatting,League of Legends,5.2,558,1.548,1.4,8.040,949000,2640000,29,4.3,Monday,Wednesday
253,fanum,English,personality,Grand Theft Auto V,Just Chatting,4.8,3.654,2.117,2,2.825,2049999,1190000,85,1.5,Thursday,Thursday
254,franio,Polish,personality,Just Chatting,I'm Only Sleeping,5.5,721,4.497,1.3,3.783,437000,2730000,43,2.7,Wednesday,Sunday
255,henyathegenius,English,personality,Just Chatting,Minecraft,5.5,1.101,0,2.3,1.877,330000,0,159,6.3,Sunday,Sunday
256,tikyjr,French,personality,League of Legends,VALORANT,5.4,198,550,1.3,4.593,184000,513000,47,6.8,Tuesday,Tuesday
257,bonjwa,German,personality,Just Chatting,Variety,12.0,91,33.518,5.1,30.503,238000,83500000,1236,6.5,Thursday,Tuesday
258,jordan_semih,German,personality,Just Chatting,EA Sports FC 24,1.6,841,0,1.3,588,311000,0,36,5.9,Monday,Sunday
259,pobelter,English,personality,League of Legends,ELDEN RING,4.6,162,6.212,1.1,6.129,452000,20100000,32,3.4,Tuesday,Monday
260,valorant_br,Portuguese,esports,VALORANT,Talk Shows & Podcasts,5.3,1.647,36.671,1,2.720,750000,16600000,3,2.8,Saturday,Sunday
261,mobilmobil,Chinese,personality,Talk Shows & Podcasts,Tom Clancy's Rainbow Six Siege,5.1,88,33.342,1.8,13.349,548000,138000000,1256,6.7,Saturday,Sunday
262,izakooo,Polish,personality,Counter-Strike,Call of Duty: Warzone,6.8,545,51.797,1.6,13.869,1950000,190000000,195,5.2,Tuesday,Friday
263,never_loses,Chinese,personality,League of Legends,Just Chatting,5.3,120,26.169,1.3,10.186,288000,53000000,88,4.8,Sunday,Thursday
264,oestagiario,Portuguese,personality,Sports,Just Chatting,6.6,250,5.614,2.1,9.336,344000,7720000,121,4.8,Tuesday,Tuesday
265,staiy,German,personality,Just Chatting,Grand Theft Auto V,5.3,112,11.031,1.8,12.214,348000,34000000,272,5.9,Sunday,Sunday
266,akademiks,English,personality,Just Chatting,NBA 2K17,4.3,639,5.029,1.1,3.736,556000,4610000,16,2.2,Friday,Friday
267,cct_cs,English,esports,Counter-Strike,Sports,10.5,455,44.292,1,9.440,417000,40700000,3,3.1,Wednesday,Tuesday
268,watsondoto,Russian,personality,Dota 2,Counter-Strike,4.5,442,1.578,1,1.998,209000,745000,5,1.4,Tuesday,Thursday
269,warframeinternational,Spanish,personality,Warframe,,1.2,704,2.955,1,323,188000,790000,1,0.7,Wednesday,Wednesday
270,pqueen,Turkish,personality,Just Chatting,Counter-Strike,4.6,1.802,40.222,2.2,6.542,2300000,51400000,504,4.1,Wednesday,Wednesday
271,ninja,English,personality,Fortnite,PUBG: BATTLEGROUNDS,7.4,9.552,280.750,1.3,12.470,19000000,572000000,70,4.1,Thursday,Sunday
272,distortion2,English,personality,ELDEN RING,DARK SOULS III,8.3,187,11.272,1.6,21.939,644000,38400000,557,6.7,Wednesday,Sunday
273,betboom_cs_a,Russian,personality,Counter-Strike,Dota 2,8.4,337,45.839,1,11.451,334000,58100000,4,2.5,Wednesday,Sunday
274,koreshzy,Russian,personality,Just Chatting,Virtual Casino,2.7,2.097,14.381,1.1,2.270,1790000,12300000,29,4.1,Sunday,Sunday
275,ilrossopiubelloditwitch,Italian,personality,Just Chatting,I'm Only Sleeping,3.2,991,0,1.2,1.250,380000,0,21,4.4,Tuesday,Saturday
276,michou,French,personality,Fortnite,Special Events,3.3,12.490,23.308,1.3,545,1960000,3670000,42,0.5,Sunday,Saturday
277,banda_chosuke,Japanese,personality,Grand Theft Auto V,Variety,6.4,322,0,1,2.511,136000,8,7,4.9,Sunday,Sunday
278,filian,English,personality,Just Chatting,VRChat,2.7,1.602,1.003,1.6,2.173,873000,547000,146,4.9,Sunday,Saturday
279,ramzes,Russian,personality,Dota 2,The Dark Pictures Anthology: Little Hope,3.8,1.135,27.591,1,1.202,386000,9270000,11,0.8,Thursday,Tuesday
280,barbarousking,English,personality,Super Mario World,Super Mario Maker,9.3,49,4.404,1.7,24.527,214000,19200000,515,6.7,Friday,Wednesday
281,t2x2,Russian,personality,Just Chatting,Minecraft,3.8,485,3.008,2.1,3.857,503000,3360000,311,2.6,Sunday,Friday
282,diario_as,Spanish,personality,Sports,Sports,2.5,21,53,1,1.422,14400,36700,11,2.3,Tuesday,Monday
283,renatko,Russian,personality,Just Chatting,Grand Theft Auto V,3.3,197,1.876,1.5,3.435,213000,2029999,23,4,Friday,Tuesday
284,chatterbox,English,personality,Grand Theft Auto V,Left 4 Dead 2,5.4,132,475,1.1,4.360,92600,332000,24,4.5,Tuesday,Sunday
285,chess,English,esports,Chess,Chess (5),4.9,470,129.772,1,10.760,1150000,348000000,7,4.9,Tuesday,Sunday
286,admiralbahroo,English,personality,Dead by Daylight,They Are Billions,7.7,230,30.930,1.6,18.497,841000,83500000,542,6.1,Monday,Friday
287,xrohat,German,personality,Grand Theft Auto V,Just Chatting,6.8,816,12.775,2.4,8.411,1040000,16300000,146,5.3,Wednesday,Sunday
288,vedal987,English,personality,Just Chatting,osu!,5.0,1.816,220,1.2,1.629,543000,66000,33,1.1,Monday,Tuesday
289,roier,Spanish,personality,Just Chatting,Minecraft,3.5,3.797,5.117,1.9,2.469,2420000,3280000,148,2,Tuesday,Sunday
290,doigby,French,personality,Fortnite,League of Legends,4.6,1.806,31.321,1.8,4.603,1810000,31700000,185,2.6,Thursday,Sunday
291,att,English,personality,Counter-Strike,Apex Legends,2.1,607,261.664,1,103,20400,8640000,15,0.3,Friday,Thursday
292,skermz,English,personality,Dead by Daylight,Fortnite,4.9,182,894,1,6.266,235000,1160000,37,4,Wednesday,Monday
293,samueletienne,French,personality,Just Chatting,VALORANT,3.6,884,11.797,1.1,2.678,779000,9950000,42,4.2,Monday,Saturday
294,haitani0904,Japanese,personality,Street Fighter 6,Street Fighter V,5.4,139,1.570,1.2,3.842,113000,1270000,70,2.2,Tuesday,Sunday
295,telefe,Spanish,personality,Just Chatting,Watch TV,5.5,531,14,1,3.341,550000,14300,9,4.2,Tuesday,Monday
296,imorr,Turkish,personality,Counter-Strike,Counter-Strike 2 Limited Test,2.7,509,19.624,1.2,1.644,311000,12000000,17,1.7,Monday,Thursday
297,dariomocciatwitch,Italian,personality,Just Chatting,Talk Shows & Podcasts,5.3,349,14.059,1.8,9.101,589000,23700000,315,5.4,Tuesday,Monday
298,lilsimsie,English,personality,The Sims 4,Animal Crossing: New Horizons,3.3,480,6.624,1.1,5.972,849000,11700000,54,5.2,Tuesday,Saturday
299,penta,English,personality,Grand Theft Auto V,Just Chatting,7.0,185,11.645,1.3,15.728,360000,22600000,173,5.8,Thursday,Sunday
300,nikolarn,English,personality,Apex Legends,Counter-Strike,5.2,205,23.157,1.9,8.261,564000,38800000,125,4,Tuesday,Tuesday
301,supertf,English,personality,Overwatch,Overwatch 2,6.2,370,8.919,1.8,10.965,643000,15500000,274,4.7,Tuesday,Wednesday
302,realzbluewater,English,personality,Among Us,VALORANT,13.2,141,312,3.1,16.138,156000,378000,136,5.7,Thursday,Thursday
303,lightturnip,English,personality,MORDHAU,,2.1,7,0,1,60,200,14,1,0.4,Sunday,Saturday
304,hiswattson,English,personality,Apex Legends,Overwatch 2,7.0,753,1.434,1,6.512,709000,1350000,15,4.2,Tuesday,Sunday
305,glorious_e,English,personality,Escape from Tarkov,PUBG: BATTLEGROUNDS,7.2,181,3.961,1.1,12.951,341000,7460000,44,5.1,Monday,Sunday
306,michimochievee,English,personality,Just Chatting,Minecraft,8.2,1.928,0,2.1,263,98700,0,23,6.2,Wednesday,Sunday
307,kmsenkangoo,French,personality,Just Chatting,Grand Theft Auto V,4.3,1.121,105,1.7,2.277,560000,52500,36,4.6,Sunday,Sunday
308,yaritaiji,Japanese,personality,Street Fighter 6,Apex Legends,4.3,819,1.607,1.2,292,59700,114000,10,0.4,Saturday,Wednesday
309,imaqtpie,English,personality,League of Legends,Teamfight Tactics,8.0,444,68.813,1.6,20.876,2590000,348000000,173,6.6,Tuesday,Thursday
310,deepins02,Russian,personality,Just Chatting,ROBLOX,3.0,4.033,9.035,1.9,1.233,1680000,3750000,92,2.7,Tuesday,Wednesday
311,mazellovvv,Russian,personality,Just Chatting,I'm Only Sleeping,3.6,2.037,7.738,1.8,2.486,1380000,5220000,194,2.7,Wednesday,Sunday
312,faide,English,personality,Apex Legends,DayZ,5.1,845,4.956,1,6.981,1090000,6400000,16,3.8,Tuesday,Sunday
313,akarindao,Japanese,personality,VALORANT,Apex Legends,8.1,423,2.830,1.1,8.719,465000,3110000,80,5.6,Wednesday,Wednesday
314,4head,English,personality,Grand Theft Auto V,Rust,7.3,121,181,1.2,6.440,106000,159000,54,3.3,Sunday,Sunday
315,keznit1,Spanish,personality,VALORANT,Counter-Strike,3.0,325,5.090,1.1,3.426,396000,6190000,24,3.2,Wednesday,Friday
316,pestily,English,personality,Escape from Tarkov,Just Chatting,8.2,742,37.524,1.2,15.155,1370000,69500000,119,5.3,Tuesday,Tuesday
317,gafallen,Portuguese,personality,Counter-Strike,FIFA 21,3.1,2.159,57.369,1.2,1.850,1510000,43100000,32,1.5,Tuesday,Sunday
318,chilledchaos,English,personality,Among Us,Jackbox Party Packs,4.8,241,8.396,1.8,7.117,459000,11900000,334,4.4,Wednesday,Tuesday
319,abugoku9999,German,personality,Grand Theft Auto V,Just Chatting,7.1,564,7.831,1.9,6.844,550000,7640000,65,4.3,Monday,Sunday
320,agustinunaplay8,Spanish,personality,Dead by Daylight,Lethal Company,3.7,399,1.541,1.4,2.653,289000,1110000,52,2.4,Tuesday,Tuesday
321,just_ns,Russian,personality,Dota 2,World of Warcraft,7.4,487,38.575,1.4,10.052,732000,55500000,198,3.5,Tuesday,Monday
322,tubbo,English,personality,Minecraft,Just Chatting,4.7,3.810,47.258,1.5,6.727,5280000,65500000,129,4.6,Saturday,Thursday
323,kickeresport,German,personality,EA Sports FC 24,FIFA 20,2.6,27,6.393,1,413,4300,998000,15,0.7,Thursday,Monday
324,mande,English,personality,Apex Legends,Just Chatting,7.0,342,4.862,1.7,12.177,624000,8860000,194,4.5,Wednesday,Sunday
325,skyyart,French,personality,League of Legends,Fortnite,6.3,455,14.985,1.8,11.161,859000,27300000,236,4.6,Sunday,Saturday
326,lla,Spanish,esports,League of Legends,Teamfight Tactics,5.5,764,39.372,1,4.661,679000,35000000,6,2.3,Saturday,Saturday
327,quicksoooooo,French,personality,VALORANT,Fortnite,2.2,730,0,1.2,79,29200,0,2,1,Saturday,Thursday
328,kussia88,Russian,personality,Just Chatting,Minecraft,2.4,4.427,0,1.1,529,987000,8,16,3.9,Sunday,Thursday
329,cr_arisakaaa,Japanese,personality,VALORANT,Escape from Tarkov,4.7,1.005,459,1.1,1.976,435000,199000,56,1.3,Saturday,Sunday
330,im_mittiii,Japanese,personality,VALORANT,League of Legends,7.5,240,1.153,1.3,6.594,261000,1250000,80,5.7,Thursday,Sunday
331,missmikkaa,English,personality,ELDEN RING,Just Chatting,6.2,250,1.113,1.3,8.169,334000,1570000,294,3.4,Thursday,Sunday
332,des0ut,Russian,personality,PUBG: BATTLEGROUNDS,Just Chatting,3.8,336,12.726,2,5.836,486000,18400000,42,4.9,Friday,Saturday
333,grendy,Polish,personality,Grand Theft Auto V,Minecraft,5.7,214,6.713,1.4,5.081,188000,5900000,38,4.2,Tuesday,Sunday
334,minerva,Portuguese,personality,League of Legends,Virtual Casino,6.5,495,803,1.3,4.212,365000,2570000,15,1.9,Thursday,Sunday
335,universoreality_cl,Portuguese,personality,Just Chatting,Variety,5.2,595,0,1.5,268,28600,0,21,0.7,Monday,Monday
336,nissaxter,Spanish,personality,League of Legends,Fortnite,3.5,449,6.854,1.1,6.807,789000,12000000,64,5.5,Sunday,Wednesday
337,shuteye_orange,Chinese,personality,Just Chatting,IRL,16.1,80,29.420,1.5,44.732,175000,73300000,277,6.9,Monday,Saturday
338,perxitaa,Spanish,personality,Grand Theft Auto V,Minecraft,4.0,2.116,35.555,1.3,4.691,2490000,41800000,74,4.4,Wednesday,Sunday
339,jokerdtv,English,personality,World of Warcraft,Variety,9.2,226,15.728,1.1,12.889,314000,21800000,34,4.2,Monday,Friday
340,laligafcpro,Spanish,esports,FIFA 21,FIFA 22,3.9,733,89.003,1,671,122000,14800000,5,0.8,Tuesday,Sunday
341,xcry,Spanish,personality,Just Chatting,Minecraft,3.0,2.911,7.387,2,3.798,3260000,8279999,268,3.7,Wednesday,Friday
342,pequenocabelo,Portuguese,personality,Grand Theft Auto V,Variety,2.0,6.727,0,1.5,10,30300,0,3,4.4,Monday,Saturday
343,dantes,English,personality,League of Legends,Just Chatting,8.5,606,1.823,1.1,12.738,966000,2910000,73,6.2,Thursday,Monday
344,willneff,English,personality,Just Chatting,Grand Theft Auto V,4.8,371,6.586,1.7,6.199,495000,8790000,290,4.3,Thursday,Monday
345,voodoosh,Russian,personality,Heroes of Might and Magic III: The Restoration of Erathia,Heroes of Might and Magic III: The Shadow of Death,7.0,196,20.779,1.5,14.745,385000,41300000,157,6.4,Tuesday,Friday
346,gronkhtv,German,personality,Variety,Minecraft,23.8,598,24.018,9.3,34.350,568000,21400000,355,4.2,Saturday,Saturday
347,drututt,English,personality,League of Legends,I'm Only Sleeping,5.7,553,8.635,1.1,6.245,580000,9060000,30,3.1,Thursday,Sunday
348,manuuxo,Italian,personality,Just Chatting,FIFA 21,4.2,321,603,2.7,4.756,355000,665000,410,4.2,Tuesday,Sunday
349,nadeshot,English,personality,VALORANT,Call of Duty: Warzone,5.5,1.427,26.147,1.2,5.773,2049999,62400000,52,2.7,Wednesday,Wednesday
350,sasavot,Russian,personality,Dota 2,Just Chatting,4.3,1.213,63,2.2,1.635,466000,24800,89,1.7,Saturday,Monday
351,spkclb,Portuguese,personality,Grand Theft Auto V,Just Chatting,2.9,609,1.557,1.7,1.835,345000,881000,30,1.7,Monday,Monday
352,alfrea,Japanese,personality,League of Legends,Escape from Tarkov,7.5,85,6.458,1.3,15.069,177000,13400000,174,5.1,Wednesday,Monday
353,broxah,English,personality,League of Legends,Call of Dragons,5.7,553,10.187,1,5.336,524000,9650000,19,2.5,Tuesday,Sunday
354,sacy,Portuguese,personality,VALORANT,League of Legends,5.7,644,16.366,1.2,5.530,682000,17300000,48,2.9,Wednesday,Sunday
355,oceaneamsler,French,personality,Just Chatting,Outlast,2.3,3.445,4,1,231,345000,350,2,0.7,Sunday,Sunday
356,ren_kisaragi__,Japanese,personality,Street Fighter 6,Grand Theft Auto V,5.4,862,0,1.1,1.004,178000,272,20,1.9,Thursday,Sunday
357,moistcr1tikal,English,personality,Just Chatting,Super Smash Bros. Ultimate,5.2,2.455,26.988,1.5,9.722,5400000,59300000,460,6.2,Thursday,Friday
358,ravanha69,Portuguese,personality,Virtual Casino,Fortnite,21.6,92,25,1,5.714,16100,7900,3,0.8,Tuesday,Friday
359,boxbox,English,personality,Teamfight Tactics,League of Legends,6.8,564,29.058,1.9,15.166,2120000,125000000,166,5.7,Friday,Wednesday
360,carreraaa,Spanish,personality,Just Chatting,Fortnite,2.9,6.457,15.180,2,2.712,4570000,10700000,203,3.1,Tuesday,Sunday
361,evojapan02,Japanese,personality,Street Fighter V,Street Fighter 6,11.8,3.625,27.446,3.1,83,27200,211000,14,0,Saturday,Saturday
362,39daph,English,personality,Art,Just Chatting,7.1,745,20.125,2.1,11.517,1200000,32500000,692,4.5,Wednesday,Sunday
363,robcdee,English,personality,Just Chatting,IRL,7.8,183,7.907,1,13.565,323000,13900000,31,4.9,Saturday,Sunday
364,emongg,English,personality,Overwatch,Overwatch 2,8.2,383,16.892,1.1,19.907,983000,42400000,60,6.2,Wednesday,Wednesday
365,evojapan01,Japanese,personality,Variety,Guilty Gear Xrd: Rev 2,9.8,2.837,61.458,3.2,176,49000,1110000,24,0,Saturday,Sunday
366,moe_iori,Japanese,personality,Just Chatting,Apex Legends,2.5,2.290,83,1.3,253,241000,13000,17,0.7,Friday,Sunday
367,crazyraccoonyy,Japanese,personality,VALORANT,Apex Legends,7.0,1.312,5.616,1.4,682,135000,579000,23,0.6,Sunday,Tuesday
368,vysotzky,Polish,personality,League of Legends,Just Chatting,4.7,696,16.114,1.7,3.350,385000,8910000,105,3.5,Friday,Monday
369,naru0419045,Japanese,personality,Street Fighter 6,VALORANT,6.3,127,0,1.3,2.423,60600,0,58,3.9,Tuesday,Sunday
370,aquino,Spanish,personality,Just Chatting,Minecraft,4.0,977,5.474,2.6,4.013,962000,5390000,358,2.9,Friday,Saturday
371,amouranth,English,personality,Just Chatting,IRL,9.5,2.123,112.858,2,32.024,6290000,401000000,153,6.4,Monday,Tuesday
372,theneedledrop,English,personality,Music,Variety,2.2,1.160,32.718,1,837,410000,11200000,3,1.8,Saturday,Monday
373,zoomaa,English,personality,Call of Duty: Modern Warfare II,Call of Duty: Black Ops Cold War,6.1,204,4.716,1.7,10.448,377000,7900000,106,4.4,Thursday,Thursday
374,aldo_geo,Spanish,personality,Just Chatting,Minecraft,5.1,1.860,4.814,2.6,5.394,1870000,4830000,307,3.6,Thursday,Friday
375,sanninshow_3ns,Japanese,personality,Street Fighter 6,Apex Legends,5.2,170,1.708,1.2,3.240,134000,1290000,99,3.8,Thursday,Sunday
376,jingggxd,English,personality,VALORANT,THE FINALS,4.2,1.079,1.122,1.1,2.163,601000,625000,27,2.6,Sunday,Tuesday
377,batora324,Japanese,personality,Super Mario 64,Super Smash Bros. Ultimate,5.2,133,1.621,1.4,2.677,75800,912000,102,2.5,Saturday,Tuesday
378,rezonfn,German,personality,Fortnite,Just Chatting,3.5,1.017,7.044,1.1,3.003,947000,6570000,29,3.1,Friday,Sunday
379,luminositygaming,English,esports,Call of Duty: Warzone,Super Smash Bros. Ultimate,3.0,389,165.122,1.1,727,87200,35400000,29,1.1,Wednesday,Sunday
380,dasmehdi,English,personality,Grand Theft Auto V,Arma 3,10.1,227,14.497,1.6,19.605,467000,28300000,529,5,Tuesday,Sunday
381,rdulive,English,personality,Hearthstone,Fall Guys,7.0,126,14.166,1.1,15.210,330000,33500000,56,5.5,Tuesday,Sunday
382,masondota2,English,personality,Dota 2,DARK SOULS III,5.4,146,10.772,1.1,8.956,259000,18900000,41,4.2,Tuesday,Sunday
383,symfuhny,English,personality,Call of Duty: Warzone,Fortnite,6.9,1.547,35.790,1.2,16.866,3990000,92300000,71,6.3,Tuesday,Sunday
384,mckytv,German,personality,Fortnite,Just Chatting,6.3,707,24.995,2.2,13.022,1370000,48500000,211,5.2,Saturday,Sunday
385,insym,English,personality,Phasmophobia,Welcome to the Game II,4.5,299,3.286,1.4,7.977,567000,6230000,722,5.9,Saturday,Monday
386,vei,English,personality,Just Chatting,Overwatch,4.4,821,10.420,1.9,6.182,1060000,13400000,321,3.6,Sunday,Monday
387,peterbot,English,personality,Fortnite,Variety,3.0,1.004,1.225,1.1,1.498,550000,671000,9,2.6,Wednesday,Sunday
388,oniyadayo,Japanese,personality,Apex Legends,Just Chatting,5.1,579,6.734,1.1,2.299,286000,3300000,62,2.6,Wednesday,Sunday
